timestep,anomaly_score,spike_flag,detection_lag
1,1.0,False,
2,1.0,False,
3,1.0,False,
4,1.0,False,
5,1.0,False,
6,1.0,False,
7,1.0,False,
8,1.0,False,
9,1.0,False,
10,0.09756097197532654,False,
11,0.09756097197532654,False,
12,0.0,False,
13,0.0,False,
14,0.0,False,
15,0.0,False,
16,0.0,False,
17,0.0,False,
18,0.0,False,
19,0.0,False,
20,0.0,False,
21,0.0,False,
22,0.0,False,
23,0.0,False,
24,0.0,False,
25,0.0,False,
26,0.0,False,
27,0.0,False,
28,0.0,False,
29,0.0,False,
30,0.0,False,
31,0.0,False,
32,0.0,False,
33,0.0,False,
34,0.0,False,
35,0.0,False,
36,0.0,False,
37,0.0,False,
38,0.0,False,
39,0.0,False,
40,0.0,False,
41,0.0,False,
42,0.0,False,
43,0.0,False,
44,0.0,False,
45,0.0,False,
46,0.0,False,
47,0.0,False,
48,0.0,False,
49,0.0,False,
50,0.0,False,
51,0.0,False,
52,0.0,False,
53,0.0,False,
54,0.0,False,
55,0.0,False,
56,0.0,False,
57,0.0,False,
58,0.0,False,
59,0.0,False,
60,0.0,False,
61,0.0,False,
62,0.09756097197532654,False,
63,0.4761904776096344,False,
64,1.0,False,
65,1.0,False,
66,1.0,False,
67,1.0,False,
68,1.0,False,
69,1.0,True,
70,1.0,True,
71,1.0,True,
72,0.1463414579629898,True,
73,0.17073170840740204,True,
74,0.17073170840740204,True,
75,0.1463414579629898,False,
76,0.09756097197532654,False,
77,0.0731707289814949,False,
78,0.0476190485060215,False,
79,0.0476190485060215,False,
80,0.0714285746216774,False,
81,0.02380952425301075,False,
82,0.02380952425301075,False,
83,0.0,False,
84,0.0,False,
85,0.0,False,
86,0.0,False,
87,0.0,False,
88,0.0,False,
89,0.0,False,
90,0.0,False,
91,0.0,False,
92,0.0,False,
93,0.0,False,
94,0.0,False,
95,0.0,False,
96,0.0,False,
97,0.0,False,
98,0.0,False,
99,0.0,False,
100,0.0,False,
101,0.0476190485060215,True,
102,0.09756097197532654,True,
103,0.0,False,
104,0.07500000298023224,False,
105,0.125,False,
106,0.125,False,
107,0.17499999701976776,False,
108,0.32499998807907104,True,
109,0.05000000074505806,True,
110,0.0,True,
111,0.0,True,
112,0.0,True,
113,0.0,True,
114,0.0,False,
115,0.0,False,
116,0.0,False,
117,0.0,False,
118,0.0,False,
119,0.0,False,
120,0.0,False,
121,0.0,False,
122,0.0,False,
123,0.0,False,
124,0.0,False,
125,0.0,False,
126,0.0,False,
127,0.0,False,
128,0.0,False,
129,0.0,False,
130,0.0,False,
131,0.0,False,
132,0.0,False,
133,0.0,False,
134,0.0,False,
135,0.0,False,
136,0.0,False,
137,0.0,False,
138,0.0,False,
139,0.0,False,
140,0.0,False,
141,0.07500000298023224,False,
142,0.19512194395065308,False,
143,0.46341463923454285,False,
144,0.9750000238418579,False,
145,1.0,False,
146,1.0,False,
147,1.0,False,
148,0.8780487775802612,True,
149,0.0,True,
150,0.0,True,
151,0.0,True,
152,0.0,True,
153,0.0,False,
154,0.0,False,
155,0.0,False,
156,0.24390244483947754,False,
157,0.4390243887901306,False,
158,0.8536585569381714,False,
159,0.8292682766914368,False,
160,0.8292682766914368,False,
161,0.9268292784690857,False,
162,0.9024389982223511,True,2
163,0.8048780560493469,True,
164,0.6585366129875183,True,
165,0.4749999940395355,True,
166,0.707317054271698,True,
167,0.4390243887901306,True,
168,0.4878048896789551,True,
169,0.5609756112098694,True,
170,0.5121951103210449,False,
171,0.0,False,
172,0.0,False,
173,0.0,False,
174,0.2195121943950653,False,
175,0.5365853905677795,False,
176,0.5121951103210449,False,
177,0.6341463327407837,False,
178,0.5853658318519592,False,
179,0.574999988079071,False,
180,0.7317073345184326,False,
181,0.0,False,
182,0.0,False,
183,0.0476190485060215,False,
184,0.0,False,
185,0.05000000074505806,False,
186,0.3658536672592163,False,
187,0.22499999403953552,False,
188,0.46341463923454285,False,
189,0.4390243887901306,False,
190,0.2926829159259796,False,
191,0.7317073345184326,False,
192,0.5853658318519592,True,2
193,0.0,False,
